"","route","date","rides"
"163","1","07/2014",1927.90909090909
"164","1","08/2014",1839.14285714286
"165","1","09/2014",2017.90476190476
"166","1","10/2014",2018.78260869565
"167","1","11/2014",1984
"168","1","12/2014",1748.68181818182
"169","1","01/2015",1958.7619047619
"170","1","02/2015",2140
"171","1","03/2015",1827.03703703704
"172","1","04/2015",1817.5
"173","1","05/2015",1691.95833333333
"174","1","06/2015",1586.77777777778
"175","1","07/2015",1471.89285714286
"176","1","08/2015",1664.08695652174
"177","1","09/2015",1669.44
"178","1","10/2015",1735.6
"179","1","11/2015",1542.58333333333
"180","1","12/2015",1705.72727272727
"181","1","01/2016",1898.4
"182","1","02/2016",1805.80952380952
"183","1","03/2016",1661.44
"184","1","04/2016",1406.38461538462
"185","1","05/2016",1469.64
"186","1","06/2016",1608.65217391304
"187","1","07/2016",1603.6
"188","1","08/2016",1585.13043478261
"189","1","09/2016",1691.38095238095
"190","1","10/2016",1676.77272727273
"191","1","11/2016",1590.28571428571
"192","1","12/2016",1515.61904761905
"193","1","01/2017",1643.09523809524
"194","1","02/2017",1662.1
"195","1","03/2017",1694.47826086957
"196","1","04/2017",1679.75
"197","1","05/2017",1662.09090909091
"198","1","06/2017",1650.59090909091
"199","1","07/2017",1602.85
"200","1","08/2017",1500.4347826087
"201","1","09/2017",1658.5
"202","1","10/2017",1753.31818181818
"203","1","11/2017",1658.95238095238
"204","1","12/2017",1479.4
"205","10","01/2001",457.111111111111
"206","10","02/2001",552.125
"207","10","03/2001",778.888888888889
"208","10","04/2001",657
"209","10","05/2001",733.75
"210","10","06/2001",739.2
"211","10","07/2001",863.322580645161
"212","10","08/2001",918.709677419355
"213","10","09/2001",630.545454545455
"214","10","10/2001",502.625
"215","10","11/2001",559.222222222222
"216","10","12/2001",601.181818181818
"217","10","01/2002",385.666666666667
"218","10","02/2002",439.375
"219","10","03/2002",538.2
"220","10","04/2002",567.375
"221","10","05/2002",588.384615384615
"222","10","06/2002",802.833333333333
"223","10","07/2002",1251.12903225806
"224","10","08/2002",1265.90322580645
"225","10","09/2002",788
"226","10","10/2002",750.375
"227","10","11/2002",702.1
"228","10","12/2002",943.6
"229","10","01/2003",480.666666666667
"230","10","02/2003",464.125
"231","10","03/2003",579.1
"232","10","04/2003",573.375
"233","10","05/2003",551.5
